model,dataset,n_samples,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,spot_recognition_p10
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,IN718_twins,503,0.9837141545937502,0.9702141837144704,0.03022882711719981,0.0213382534542034,0.07944154026908856,0.11675808483560683,0.07945101575603779,0.9943172394873845,0.9888267652177906,0.041359103830979314,0.9767426652889365,0.9689595937728882
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,Al,573,0.9735668536152099,0.9523406561340545,0.03217890729110227,0.011946986338373983,0.10372928388897869,0.1511981194257008,0.10389594506166784,0.9894291184335479,0.9848334427279327,0.052446116935494266,0.9706939731384863,0.9617371320724487
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,Al_small_grains,552,0.9410456095052802,0.8901765653188678,0.0381947181649857,0.004636662088898078,0.1237018722500922,0.12547297613776248,0.12859022695625175,0.9872319521247477,0.9866989606964416,0.055442232608228274,0.95142544536055,0.9308627963066101
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,Al_big_grains,552,0.9390190295551134,0.8962907675599706,0.03491411025743878,0.013039257228914379,0.17326850278734945,513.2959810377004,0.1748477999606858,0.9673081807576228,0.9597277016095493,0.08199588753505731,0.9520524599845859,0.9167517781257629
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,Al_deformed_LoG,576,0.9363217652878828,0.8817640146654513,0.03872574873902421,0.004408877367596788,0.11648364894790575,0.11876485185025053,0.13144360980691594,0.9891239461592503,0.9883958151977923,0.05101508876476954,0.9487980084700717,0.9259446859359741
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,Iron,536,0.9287728146830602,0.8730241529532333,0.039813188626604684,0.006476124371323776,0.17195819644952443,0.1849344720257752,0.17999824292179364,0.971341951013501,0.9674748076654193,0.08363544830440808,0.9444798127706371,0.9103085994720459
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,Iron_deformed,557,0.9187889675905717,0.854238622492477,0.048614464219512425,0.006490700008954579,0.16376969121276155,0.17280998651466636,0.17517826039364137,0.977335380266556,0.9750795051375241,0.07921741983587427,0.93508725010086,0.9026598811149598
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,Ti7Al,580,0.9156223184075849,0.8591382809240242,0.04361239601697387,0.014738031459675203,0.22828427805597412,0.2572005068947529,0.23030010509336818,0.9459024106634074,0.9387942621934002,0.11486291868836972,0.9360049603314236,0.8823439359664917
final_20260802-123726_augmented_spots_train_e200_b20_lr0.0001_s1,Cu,571,0.9101420199390886,0.8387126703917875,0.05312297647841758,0.004749436018093051,0.190439352318775,0.19911360774587206,0.22058743058382527,0.9708289971180429,0.9686580044584391,0.0978251802339504,0.9285095218184115,0.8946875333786011
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,IN718_twins,503,0.9826682482514656,0.9684247628120969,0.03824426353007377,0.024776785347469996,0.09548480637652973,0.12558968619223143,0.09549129110710995,0.99261699862793,0.9846194785229018,0.06147457660355459,0.9722119924088358,0.9651209473609924
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,Al,573,0.9771747012308963,0.9581559191199498,0.03577343114760638,0.012013434383686612,0.10694561223215042,0.11602622484479483,0.10707368056109438,0.9907115180350932,0.9875448567705004,0.06654862773134966,0.9707006334634352,0.9628708839416504
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,Al_big_grains,552,0.945297589984493,0.9054005878127139,0.03777939384040571,0.014068375296040398,0.17812085016698076,0.20754120515092558,0.17952764671012436,0.9703824576800284,0.9617622430989707,0.09620779181115222,0.9537590981825538,0.9236569821834564
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,Al_small_grains,552,0.9437266814967861,0.8953682182059772,0.0416714569951907,0.005201321979520667,0.12738057193548782,0.12896322315909725,0.13163831270556303,0.9866586375063744,0.9862353274787682,0.07629649086005014,0.9510276117834492,0.9339720189571381
