model_display,architecture,dataset,soft_dice_whole_mean,rmse_whole_mean
two-output Tversky loss,twooutput,Al_big_grains,0.4602267201989889,0.23522741041159712
two-output Tversky loss,twooutput,Al_deformed_LoG,0.5758690123653246,0.08209765996111346
two-output Tversky loss,twooutput,Al_small_grains,0.599190126510634,0.07886398588374684
two-output Tversky loss,twooutput,Cu,0.5499028902233377,0.05964404881496349
two-output Tversky loss,twooutput,IN718_twins,0.6722178680759301,0.30453279922544124
two-output Tversky loss,twooutput,Iron,0.4658496109629745,0.11755536983151041
two-output Tversky loss,twooutput,Iron_deformed,0.5195024665746055,0.0935535578983476
two-output Tversky loss,twooutput,Ti7Al,0.3722548810058626,0.23517850632297577
two-output Tversky loss small dataset,twooutput,Al,0.5880985499780632,0.20829309160328657
two-output Tversky loss small dataset,twooutput,Al_big_grains,0.4280267883146155,0.23984189978733222
two-output Tversky loss small dataset,twooutput,Al_deformed_LoG,0.5524354773935758,0.08027855178806925
two-output Tversky loss small dataset,twooutput,Al_small_grains,0.5646920742440051,0.07741169394938731
two-output Tversky loss small dataset,twooutput,Cu,0.4485455129536981,0.051153455187294146
two-output Tversky loss small dataset,twooutput,IN718_twins,0.6485823010711025,0.32311888898224767
two-output Tversky loss small dataset,twooutput,Iron,0.41876906893257776,0.11872143126718362
two-output Tversky loss small dataset,twooutput,Iron_deformed,0.46802681940649526,0.0944647970383642
two-output Tversky loss small dataset,twooutput,Ti7Al,0.3317695293832441,0.22048068024731912
two-output reconstruction loss,twooutput,Al,0.9916006500392268,0.007333380312180946
two-output reconstruction loss,twooutput,Al_big_grains,0.9193763462961584,0.016370220407396437
two-output reconstruction loss,twooutput,Al_deformed_LoG,0.9876440735533834,0.004032084934199955
two-output reconstruction loss,twooutput,Al_small_grains,0.9844537042621253,0.004551926799320087
two-output reconstruction loss,twooutput,Cu,0.9353896854429028,0.006266449443953495
two-output reconstruction loss,twooutput,IN718_twins,0.9918731961762218,0.014217876844019182
two-output reconstruction loss,twooutput,Iron,0.9328408649385865,0.008373663264218973
two-output reconstruction loss,twooutput,Iron_deformed,0.9461040317584197,0.008607043375246867
two-output reconstruction loss,twooutput,Ti7Al,0.8785004886573758,0.019322322639596504
