model_display,performance_group,rank_within_group,sample_number,sample_name,spot_recognition_mean,dice_mean,iou_mean,rmse_mean,dataset
multi-output BCE/MSE Loss small Dataset,best,4,18877,sample_018877,0.9775567054748536,0.9931466579437256,0.9864003658294678,0.0348302572965621,Al
multi-output BCE/MSE Loss small Dataset,best,5,49893,sample_049893,0.9772015810012816,0.9977810382843018,0.995573878288269,0.0379862114787101,IN718_twins
multi-output BCE/MSE Loss small Dataset,best,6,52044,sample_052044,0.9750990271568298,0.9921359419822692,0.9844343066215516,0.0320476740598678,IN718_twins
multi-output BCE/MSE Loss small Dataset,best,7,46568,sample_046568,0.9725279211997986,0.997650384902954,0.9953118562698364,0.0294021070003509,IN718_twins
multi-output BCE/MSE Loss small Dataset,best,8,45654,sample_045654,0.9716971516609192,0.9927365779876708,0.9855968952178956,0.0373818427324295,IN718_twins
multi-output BCE/MSE Loss small Dataset,best,9,51295,sample_051295,0.9711081981658936,0.9940469264984132,0.9881725311279296,0.0284258164465427,IN718_twins
multi-output BCE/MSE Loss small Dataset,best,10,48466,sample_048466,0.97013521194458,0.9930318593978882,0.9861755967140198,0.0342173688113689,IN718_twins
multi-output BCE/MSE Loss small Dataset,worst,1,69133,sample_069133,0.236623466014862,0.2444376647472381,0.1617587804794311,0.1704130470752716,Iron
multi-output BCE/MSE Loss small Dataset,worst,2,44105,sample_044105,0.2711609303951263,0.2823858261108398,0.1967532485723495,0.1125607118010521,Cu
multi-output BCE/MSE Loss small Dataset,worst,3,5000,sample_005000,0.3050114214420318,0.3457192778587341,0.2618503868579864,0.1379528492689132,Al_big_grains
multi-output BCE/MSE Loss small Dataset,worst,4,24794,sample_024794,0.3092789351940155,0.3886605203151703,0.3121275603771209,0.2289916574954986,Al
multi-output BCE/MSE Loss small Dataset,worst,5,33404,sample_033404,0.3325672745704651,0.3564691841602325,0.2616607844829559,0.1740294396877288,Al_small_grains
multi-output BCE/MSE Loss small Dataset,worst,6,79437,sample_079437,0.335238516330719,0.3697886168956756,0.2921054363250732,0.1172546744346618,Ti7Al
multi-output BCE/MSE Loss small Dataset,worst,7,76423,sample_076423,0.3359360694885254,0.365566074848175,0.282206654548645,0.1072941422462463,Ti7Al
multi-output BCE/MSE Loss small Dataset,worst,8,2862,sample_002862,0.3399071991443634,0.3715964257717132,0.2602066695690155,0.1489747464656829,Al_big_grains
multi-output BCE/MSE Loss small Dataset,worst,9,38443,sample_038443,0.3431929349899292,0.3789198398590088,0.2890955209732055,0.2052616477012634,Cu
multi-output BCE/MSE Loss small Dataset,worst,10,64567,sample_064567,0.3440895080566406,0.2895073592662811,0.2037370502948761,0.0626409873366355,Iron
multi-output Tversky Loss,best,1,79138,sample_079138,0.9911455512046814,0.998064398765564,0.9961438179016112,0.0069658448919653,Ti7Al
multi-output Tversky Loss,best,2,8710,sample_008710,0.990971863269806,0.9984952807426452,0.9969996213912964,0.0102431885898113,Al_big_grains
multi-output Tversky Loss,best,3,77653,sample_077653,0.990885615348816,0.9983130693435668,0.996637523174286,0.0097683975473046,Ti7Al
multi-output Tversky Loss,best,4,49582,sample_049582,0.9832607507705688,0.9988685846328736,0.997739851474762,0.0223491359502077,IN718_twins
multi-output Tversky Loss,best,5,47544,sample_047544,0.9825329780578612,0.99676775932312,0.9935572147369384,0.0194600038230419,IN718_twins
multi-output Tversky Loss,best,6,49720,sample_049720,0.9822814464569092,0.9989193677902222,0.9978411197662354,0.0247876998037099,IN718_twins
multi-output Tversky Loss,best,7,46070,sample_046070,0.9821428060531616,0.997903287410736,0.9958158731460572,0.0219274349510669,IN718_twins
multi-output Tversky Loss,best,8,50981,sample_050981,0.982024908065796,0.9969806671142578,0.9939796328544616,0.0251114331185817,IN718_twins
multi-output Tversky Loss,best,9,45737,sample_045737,0.9818782806396484,0.9969106316566468,0.9938415288925172,0.0263652987778186,IN718_twins
multi-output Tversky Loss,best,10,45237,sample_045237,0.9817996621131896,0.9964274764060974,0.9928865432739258,0.0192122031003236,IN718_twins
multi-output Tversky Loss,worst,1,78672,sample_078672,0.39978688955307,0.3704636693000793,0.242164134979248,0.1349132359027862,Ti7Al
multi-output Tversky Loss,worst,2,79887,sample_079887,0.4053845107555389,0.4521474838256836,0.4126543998718261,0.2017643451690673,Ti7Al
multi-output Tversky Loss,worst,3,57275,sample_057275,0.4377136826515198,0.468410313129425,0.4405750930309295,0.1308973878622055,Iron_deformed
multi-output Tversky Loss,worst,4,73272,sample_073272,0.4606172442436218,0.4166925847530365,0.2782127857208252,0.124135784804821,Ti7Al
multi-output Tversky Loss,worst,5,18971,sample_018971,0.4732826948165893,0.448954313993454,0.298391729593277,0.1697543263435363,Al
multi-output Tversky Loss,worst,6,78131,sample_078131,0.4815503656864166,0.5504040122032166,0.3900672197341919,0.2358172833919525,Ti7Al
multi-output Tversky Loss,worst,7,75274,sample_075274,0.4848494529724121,0.5403565764427185,0.3708088994026184,0.1081113740801811,Ti7Al
multi-output Tversky Loss,worst,8,1810,sample_001810,0.4890300929546356,0.4987515807151794,0.4975094199180603,0.0563262514770031,Al_big_grains
multi-output Tversky Loss,worst,9,445,sample_000445,0.4900459051132202,0.4976472854614258,0.495316594839096,0.0829943045973777,Al_big_grains
multi-output Tversky Loss,worst,10,19559,sample_019559,0.491008847951889,0.4991998970508575,0.4984023571014404,0.01704703271389,Al
multi-output Tversky Loss ReduceLROnPlateau,best,1,79138,sample_079138,0.9907231330871582,0.994542956352234,0.989203691482544,0.0050685890018939,Ti7Al
multi-output Tversky Loss ReduceLROnPlateau,best,2,77653,sample_077653,0.9904086589813232,0.9947991371154784,0.9897053241729736,0.0073269843123853,Ti7Al
multi-output Tversky Loss ReduceLROnPlateau,best,3,49582,sample_049582,0.9879316091537476,0.9972290992736816,0.9944735765457152,0.0137275904417037,IN718_twins
multi-output Tversky Loss ReduceLROnPlateau,best,4,8710,sample_008710,0.9870372414588928,0.9895541667938232,0.9795358180999756,0.0072579882107675,Al_big_grains
multi-output Tversky Loss ReduceLROnPlateau,best,5,45737,sample_045737,0.9865929484367372,0.9956513047218324,0.9913402795791626,0.0171220954507589,IN718_twins
multi-output Tversky Loss ReduceLROnPlateau,best,6,47139,sample_047139,0.9857504367828368,0.9966146945953368,0.9932535886764526,0.0180262681096792,IN718_twins
multi-output Tversky Loss ReduceLROnPlateau,best,7,45148,sample_045148,0.9852155447006226,0.9953604340553284,0.9907643795013428,0.0207278598099946,IN718_twins
multi-output Tversky Loss ReduceLROnPlateau,best,8,47723,sample_047723,0.9846463203430176,0.9946659803390504,0.9893887639045716,0.0174322146922349,IN718_twins
multi-output Tversky Loss ReduceLROnPlateau,best,9,50890,sample_050890,0.9846444129943848,0.9963759183883668,0.9927881956100464,0.0223545208573341,IN718_twins
multi-output Tversky Loss ReduceLROnPlateau,best,10,51591,sample_051591,0.9844741821289062,0.9946154356002808,0.989289402961731,0.0214426778256893,IN718_twins
multi-output Tversky Loss ReduceLROnPlateau,worst,1,3501,sample_003501,0.2610694169998169,0.32455575466156,0.2139424681663513,0.2521749436855316,Al_big_grains
multi-output Tversky Loss ReduceLROnPlateau,worst,2,79887,sample_079887,0.416013240814209,0.4701403081417084,0.4114041626453399,0.203775942325592,Ti7Al
multi-output Tversky Loss ReduceLROnPlateau,worst,3,26164,sample_026164,0.4311233758926391,0.39107745885849,0.30087411403656,0.2236707657575607,Al
multi-output Tversky Loss ReduceLROnPlateau,worst,4,79816,sample_079816,0.439544528722763,0.4664822518825531,0.3773297667503357,0.0620843172073364,Ti7Al
multi-output Tversky Loss ReduceLROnPlateau,worst,5,57772,sample_057772,0.4524583220481872,0.4770642220973968,0.4561403393745422,0.1807397603988647,Iron_deformed
multi-output Tversky Loss ReduceLROnPlateau,worst,6,76790,sample_076790,0.462277889251709,0.4531095027923584,0.3982489109039306,0.0513505935668945,Ti7Al
multi-output Tversky Loss ReduceLROnPlateau,worst,7,23199,sample_023199,0.4669862687587738,0.502856969833374,0.3757238984107971,0.3022059202194214,Al
multi-output Tversky Loss ReduceLROnPlateau,worst,8,43225,sample_043225,0.4772026538848877,0.6598966121673584,0.4942324757575989,0.3694493174552917,Cu
multi-output Tversky Loss ReduceLROnPlateau,worst,9,58917,sample_058917,0.4817790389060974,0.6239509582519531,0.4542972147464752,0.2502633333206177,Iron_deformed
multi-output Tversky Loss ReduceLROnPlateau,worst,10,19559,sample_019559,0.4824424982070923,0.4920724034309387,0.4843922853469848,0.0253325533121824,Al
multi-output Tversky Loss base-channel 32,best,1,79138,sample_079138,0.9934786558151244,0.9963850378990172,0.992821991443634,0.0037068526726216,Ti7Al
multi-output Tversky Loss base-channel 32,best,2,49582,sample_049582,0.9890956878662108,0.9960993528366088,0.9922292232513428,0.0107818394899368,IN718_twins
multi-output Tversky Loss base-channel 32,best,3,44855,sample_044855,0.9860000014305116,0.9939419031143188,0.9879568815231324,0.018378073349595,IN718_twins
multi-output Tversky Loss base-channel 32,best,4,45148,sample_045148,0.9858669638633728,0.9929980039596558,0.9860953092575072,0.0163626931607723,IN718_twins
multi-output Tversky Loss base-channel 32,best,5,51959,sample_051959,0.9856200218200684,0.9921696186065674,0.9844724535942078,0.0138383042067289,IN718_twins
multi-output Tversky Loss base-channel 32,best,6,45737,sample_045737,0.985324501991272,0.9945446252822876,0.989148497581482,0.017943000420928,IN718_twins
multi-output Tversky Loss base-channel 32,best,7,50890,sample_050890,0.9851328730583192,0.9957669973373412,0.991584300994873,0.020257081836462,IN718_twins
multi-output Tversky Loss base-channel 32,best,8,45574,sample_045574,0.9846319556236268,0.9929463863372804,0.986001193523407,0.0203426107764244,IN718_twins
multi-output Tversky Loss base-channel 32,best,9,48236,sample_048236,0.9845072031021118,0.9959771633148192,0.9919865131378174,0.0122777968645095,IN718_twins
multi-output Tversky Loss base-channel 32,best,10,51926,sample_051926,0.9844350814819336,0.9906436204910278,0.9814608097076416,0.017040641978383,IN718_twins
multi-output Tversky Loss base-channel 32,worst,1,26164,sample_026164,0.3455657660961151,0.3892838358879089,0.2984756827354431,0.2116192430257797,Al
multi-output Tversky Loss base-channel 32,worst,2,71488,sample_071488,0.351285308599472,0.4032975733280182,0.3379386067390442,0.1552102714776992,Ti7Al
multi-output Tversky Loss base-channel 32,worst,3,3894,sample_003894,0.3622434437274933,0.4062860906124115,0.3026293814182281,0.1339206993579864,Al_big_grains
multi-output Tversky Loss base-channel 32,worst,4,562,sample_000562,0.3660232424736023,0.4096083641052246,0.2952755391597748,0.1554491072893142,Al_big_grains
multi-output Tversky Loss base-channel 32,worst,5,8225,sample_008225,0.3661545813083648,0.3660399913787842,0.2362011969089508,0.221221774816513,Al_big_grains
multi-output Tversky Loss base-channel 32,worst,6,77612,sample_077612,0.3731993436813354,0.3942295908927917,0.3171903491020202,0.1724386811256408,Ti7Al
multi-output Tversky Loss base-channel 32,worst,7,79887,sample_079887,0.3893629908561706,0.4379444718360901,0.3812736868858337,0.2079547345638275,Ti7Al
multi-output Tversky Loss base-channel 32,worst,8,3554,sample_003554,0.3983858227729797,0.5593186616897583,0.4005965888500213,0.1694165617227554,Al_big_grains
multi-output Tversky Loss base-channel 32,worst,9,74041,sample_074041,0.4018839001655578,0.3561950325965881,0.2192846834659576,0.1250496655702591,Ti7Al
multi-output Tversky Loss base-channel 32,worst,10,72031,sample_072031,0.4039854705333709,0.3603714406490326,0.2200659811496734,0.0429004281759262,Ti7Al
multi-output Tversky Loss batch 100,best,1,79138,sample_079138,0.9917397499084472,0.992476224899292,0.985175609588623,0.0027805995196104,Ti7Al
multi-output Tversky Loss batch 100,best,2,51959,sample_051959,0.9915772676467896,0.9950068593025208,0.9900659322738647,0.0074354009702801,IN718_twins
multi-output Tversky Loss batch 100,best,3,45148,sample_045148,0.9906975030899048,0.9952847957611084,0.9906147718429564,0.0106684993952512,IN718_twins
multi-output Tversky Loss batch 100,best,4,44855,sample_044855,0.9901940822601318,0.9946101903915404,0.9892793893814088,0.011503791436553,IN718_twins
multi-output Tversky Loss batch 100,best,5,45737,sample_045737,0.9899208545684814,0.9956564903259276,0.9913512468338012,0.0116349644958972,IN718_twins
multi-output Tversky Loss batch 100,best,6,49582,sample_049582,0.9896782636642456,0.9976895451545716,0.995389759540558,0.0106321740895509,IN718_twins
multi-output Tversky Loss batch 100,best,7,45574,sample_045574,0.9888423085212708,0.993451714515686,0.9869908690452576,0.0128247141838073,IN718_twins
multi-output Tversky Loss batch 100,best,8,48727,sample_048727,0.9885517358779908,0.9931364059448242,0.9863663911819458,0.0119762169197201,IN718_twins
multi-output Tversky Loss batch 100,best,9,49319,sample_049319,0.988452672958374,0.9959644675254822,0.991977035999298,0.0135776037350296,IN718_twins
multi-output Tversky Loss batch 100,best,10,50981,sample_050981,0.9879102110862732,0.9952616691589355,0.9905686378479004,0.0139148263260722,IN718_twins
multi-output Tversky Loss batch 100,worst,1,75058,sample_075058,0.3340478539466858,0.3624205589294433,0.2790720760822296,0.1076779514551162,Ti7Al
multi-output Tversky Loss batch 100,worst,2,71488,sample_071488,0.3670296669006347,0.4114591479301452,0.3472183644771576,0.144135519862175,Ti7Al
multi-output Tversky Loss batch 100,worst,3,5000,sample_005000,0.3884244561195373,0.4467821419239044,0.3489606082439422,0.1110655441880226,Al_big_grains
multi-output Tversky Loss batch 100,worst,4,78397,sample_078397,0.3944602310657501,0.4544465243816376,0.3465172052383423,0.1511303335428238,Ti7Al
multi-output Tversky Loss batch 100,worst,5,79887,sample_079887,0.4036193192005157,0.4561793506145477,0.3797919750213623,0.2065124064683914,Ti7Al
multi-output Tversky Loss batch 100,worst,6,75707,sample_075707,0.4195097386837005,0.456655889749527,0.3470328748226166,0.1102242767810821,Ti7Al
multi-output Tversky Loss batch 100,worst,7,3894,sample_003894,0.4350806176662445,0.4694868624210357,0.4125114679336548,0.1006692126393318,Al_big_grains
multi-output Tversky Loss batch 100,worst,8,73101,sample_073101,0.4482717514038086,0.4553113579750061,0.417955607175827,0.061956375837326,Ti7Al
multi-output Tversky Loss batch 100,worst,9,43225,sample_043225,0.4591814279556274,0.6444296836853027,0.4770469665527344,0.3784126043319702,Cu
multi-output Tversky Loss batch 100,worst,10,66140,sample_066140,0.4597511291503906,0.6035915017127991,0.4632285237312317,0.2518101930618286,Iron
multi-output Tversky Loss batch 20,best,1,79138,sample_079138,0.9899280667304992,0.9917080402374268,0.9836866855621338,0.0039638732559978,Ti7Al
multi-output Tversky Loss batch 20,best,2,49582,sample_049582,0.9885128736495972,0.9977537393569946,0.995517909526825,0.012849180959165,IN718_twins
multi-output Tversky Loss batch 20,best,3,46212,sample_046212,0.9858518838882446,0.99499773979187,0.990045428276062,0.0097077600657939,IN718_twins
multi-output Tversky Loss batch 20,best,4,47139,sample_047139,0.9855095148086548,0.994610071182251,0.9892845153808594,0.0148347541689872,IN718_twins
multi-output Tversky Loss batch 20,best,5,51591,sample_051591,0.9852421283721924,0.9945287108421326,0.9891183376312256,0.0199974700808525,IN718_twins
multi-output Tversky Loss batch 20,best,6,53104,sample_053104,0.9850546717643738,0.9941024780273438,0.9882742166519164,0.0144640915095806,IN718_twins
multi-output Tversky Loss batch 20,best,7,48568,sample_048568,0.9849165678024292,0.9972651600837708,0.9945460557937622,0.0212320089340209,IN718_twins
multi-output Tversky Loss batch 20,best,8,45237,sample_045237,0.9848711490631104,0.9941062927246094,0.9882929921150208,0.0140668824315071,IN718_twins
multi-output Tversky Loss batch 20,best,9,45737,sample_045737,0.984818398952484,0.9957002401351928,0.9914379119873048,0.0200884938240051,IN718_twins
multi-output Tversky Loss batch 20,best,10,47723,sample_047723,0.9847248792648317,0.9953838586807252,0.9908106327056884,0.0173840392380952,IN718_twins
multi-output Tversky Loss batch 20,worst,1,71488,sample_071488,0.3684682250022888,0.4216063618659973,0.3644631803035736,0.1497077047824859,Ti7Al
multi-output Tversky Loss batch 20,worst,2,79887,sample_079887,0.3705574870109558,0.4875240325927734,0.331935703754425,0.2646359205245971,Ti7Al
multi-output Tversky Loss batch 20,worst,3,50878,sample_050878,0.3781049847602844,0.4131811857223511,0.2737900912761688,0.3245502114295959,IN718_twins
multi-output Tversky Loss batch 20,worst,4,239,sample_000239,0.3997154831886291,0.456502616405487,0.3320939540863037,0.2682505846023559,Al_big_grains
multi-output Tversky Loss batch 20,worst,5,77392,sample_077392,0.4254668354988098,0.5374288558959961,0.3850115835666656,0.1916961818933487,Ti7Al
multi-output Tversky Loss batch 20,worst,6,357,sample_000357,0.4284441173076629,0.4257580637931824,0.2730961143970489,0.1128992587327957,Al_big_grains
multi-output Tversky Loss batch 20,worst,7,71287,sample_071287,0.4400799870491028,0.548361599445343,0.4957180023193359,0.1864690631628036,Ti7Al
multi-output Tversky Loss batch 20,worst,8,38471,sample_038471,0.4629144370555877,0.5314362049102783,0.4308096468448639,0.2140689492225647,Cu
multi-output Tversky Loss batch 20,worst,9,66140,sample_066140,0.4677708148956299,0.5077189207077026,0.3410430550575256,0.1580861210823059,Iron
multi-output Tversky Loss batch 20,worst,10,26164,sample_026164,0.4680096805095672,0.4282849431037903,0.3437884747982025,0.1884136945009231,Al
multi-output Tversky Loss final Model,best,1,8710,sample_008710,0.9943203926086426,0.9977463483810424,0.995512843132019,0.0052687735296785,Al_big_grains
multi-output Tversky Loss final Model,best,2,79138,sample_079138,0.994027853012085,0.9976869821548462,0.9953951835632324,0.0040432401001453,Ti7Al
multi-output Tversky Loss final Model,best,3,47444,sample_047444,0.987135410308838,0.995072603225708,0.9901936650276184,0.0216924790292978,IN718_twins
multi-output Tversky Loss final Model,best,4,47139,sample_047139,0.9869338274002076,0.9968574047088624,0.9937373399734496,0.0157960578799247,IN718_twins
multi-output Tversky Loss final Model,best,5,44855,sample_044855,0.9866952300071716,0.995541214942932,0.9911230206489564,0.0190778542309999,IN718_twins
multi-output Tversky Loss final Model,best,6,45737,sample_045737,0.9865231513977052,0.9959373474121094,0.99190753698349,0.0175747312605381,IN718_twins
multi-output Tversky Loss final Model,best,7,46024,sample_046024,0.9863360524177552,0.9942597150802612,0.988589882850647,0.0173979103565216,IN718_twins
multi-output Tversky Loss final Model,best,8,45104,sample_045104,0.986219048500061,0.9970349669456482,0.9940950274467468,0.0182221792638301,IN718_twins
multi-output Tversky Loss final Model,best,9,49932,sample_049932,0.9860853552818298,0.9957880973815918,0.9916115999221802,0.0138492546975612,IN718_twins
multi-output Tversky Loss final Model,best,10,45574,sample_045574,0.9860329627990724,0.9949297904968262,0.989914894104004,0.0203014183789491,IN718_twins
multi-output Tversky Loss final Model,worst,1,77612,sample_077612,0.3736295700073242,0.4060309529304504,0.3286499083042145,0.1819868236780166,Ti7Al
multi-output Tversky Loss final Model,worst,2,79887,sample_079887,0.4096717536449432,0.4620950818061828,0.4086426496505737,0.2044920921325683,Ti7Al
multi-output Tversky Loss final Model,worst,3,59722,sample_059722,0.4550347030162811,0.4841009676456451,0.4572673141956329,0.0936936512589454,Iron_deformed
multi-output Tversky Loss final Model,worst,4,79816,sample_079816,0.468113899230957,0.4640149772167206,0.3862664401531219,0.0369501262903213,Ti7Al
multi-output Tversky Loss final Model,worst,5,57772,sample_057772,0.4718982577323913,0.5048704147338867,0.4797001779079437,0.1812465339899063,Iron_deformed
multi-output Tversky Loss final Model,worst,6,72650,sample_072650,0.4774253964424133,0.484332412481308,0.4696169197559356,0.0247116759419441,Ti7Al
multi-output Tversky Loss final Model,worst,7,3894,sample_003894,0.4807096719741821,0.5289129614830017,0.4289579391479492,0.1011839807033538,Al_big_grains
multi-output Tversky Loss final Model,worst,8,3958,sample_003958,0.4824824631214142,0.4817408621311188,0.4647683501243591,0.0557230710983276,Al_big_grains
multi-output Tversky Loss final Model,worst,9,43225,sample_043225,0.4862515926361084,0.6699231863021851,0.505494236946106,0.3668844699859619,Cu
multi-output Tversky Loss final Model,worst,10,1810,sample_001810,0.4915497004985809,0.4979779422283172,0.4959721863269806,0.0508912801742553,Al_big_grains
multi-output Tversky Loss lr 1e-04,best,1,8710,sample_008710,0.9888728857040404,0.9959176778793336,0.9919015169143676,0.0106216398999094,Al_big_grains
multi-output Tversky Loss lr 1e-04,best,2,77653,sample_077653,0.9885547161102296,0.9957621097564696,0.9915955066680908,0.0104397106915712,Ti7Al
multi-output Tversky Loss lr 1e-04,best,3,51959,sample_051959,0.9818862080574036,0.997679591178894,0.9953707456588744,0.0259274467825889,IN718_twins
multi-output Tversky Loss lr 1e-04,best,4,49582,sample_049582,0.9817782640457152,0.9980810880661012,0.9961698055267334,0.0235756076872348,IN718_twins
multi-output Tversky Loss lr 1e-04,best,5,49932,sample_049932,0.98129004240036,0.9966665506362916,0.9933554530143738,0.0232694316655397,IN718_twins
multi-output Tversky Loss lr 1e-04,best,6,47142,sample_047142,0.9810134172439576,0.9964927434921264,0.9930176138877868,0.0253691878169775,IN718_twins
multi-output Tversky Loss lr 1e-04,best,7,49720,sample_049720,0.9798380136489868,0.9971885681152344,0.9943995475769044,0.0265407525002956,IN718_twins
multi-output Tversky Loss lr 1e-04,best,8,49458,sample_049458,0.9796688556671144,0.995396375656128,0.9908515810966492,0.0291965380311012,IN718_twins
multi-output Tversky Loss lr 1e-04,best,9,52976,sample_052976,0.9792134761810304,0.9955266714096068,0.991093635559082,0.0264151263982057,IN718_twins
multi-output Tversky Loss lr 1e-04,best,10,46070,sample_046070,0.9792039394378662,0.997333824634552,0.9946820735931396,0.0253674387931823,IN718_twins
multi-output Tversky Loss lr 1e-04,worst,1,79572,sample_079572,0.38374924659729,0.3928062617778778,0.3155615329742431,0.0949293226003646,Ti7Al
multi-output Tversky Loss lr 1e-04,worst,2,79887,sample_079887,0.4007995724678039,0.4460531771183014,0.4026137292385101,0.2020891308784485,Ti7Al
multi-output Tversky Loss lr 1e-04,worst,3,79691,sample_079691,0.4183774590492248,0.4844169318675995,0.3560224175453186,0.3130497336387634,Ti7Al
multi-output Tversky Loss lr 1e-04,worst,4,57275,sample_057275,0.4219775199890136,0.4494183957576751,0.4081306159496307,0.1332995146512985,Iron_deformed
multi-output Tversky Loss lr 1e-04,worst,5,78401,sample_078401,0.4344685077667236,0.4203991591930389,0.3626626431941986,0.038440391421318,Ti7Al
multi-output Tversky Loss lr 1e-04,worst,6,51171,sample_051171,0.4389242529869079,0.4218794703483581,0.3126948475837707,0.2436497211456298,IN718_twins
multi-output Tversky Loss lr 1e-04,worst,7,71287,sample_071287,0.4428779184818268,0.5484230518341064,0.4936119318008423,0.184334248304367,Ti7Al
multi-output Tversky Loss lr 1e-04,worst,8,30707,sample_030707,0.4685314893722534,0.5422065258026123,0.4235431551933288,0.2100673019886016,Al_small_grains
multi-output Tversky Loss lr 1e-04,worst,9,60504,sample_060504,0.4746059477329254,0.4830566942691803,0.4672240912914276,0.1011169478297233,Iron_deformed
multi-output Tversky Loss lr 1e-04,worst,10,72650,sample_072650,0.4763461351394653,0.4847863316535949,0.4704711437225342,0.026353720575571,Ti7Al
multi-output Tversky Loss lr 3e-04,best,1,79138,sample_079138,0.9933354258537292,0.9954045414924622,0.990892767906189,0.0032023817766457,Ti7Al
multi-output Tversky Loss lr 3e-04,best,2,8710,sample_008710,0.99232417345047,0.994897723197937,0.9898985028266908,0.0052716727368533,Al_big_grains
multi-output Tversky Loss lr 3e-04,best,3,51959,sample_051959,0.9922705888748168,0.9971235990524292,0.9942644238471984,0.00904431194067,IN718_twins
multi-output Tversky Loss lr 3e-04,best,4,49582,sample_049582,0.9916573762893676,0.997712016105652,0.995434582233429,0.0089919455349445,IN718_twins
multi-output Tversky Loss lr 3e-04,best,5,49592,sample_049592,0.9899680614471436,0.9974495768547058,0.9949163198471068,0.01147972792387,IN718_twins
multi-output Tversky Loss lr 3e-04,best,6,51591,sample_051591,0.9897042512893676,0.995680034160614,0.9914016127586364,0.0132827395573258,IN718_twins
multi-output Tversky Loss lr 3e-04,best,7,50981,sample_050981,0.9892156720161438,0.9959258437156676,0.9918889999389648,0.0125633478164672,IN718_twins
multi-output Tversky Loss lr 3e-04,best,8,45574,sample_045574,0.9890832304954528,0.9953055381774902,0.9906662106513976,0.0148723796010017,IN718_twins
multi-output Tversky Loss lr 3e-04,best,9,46700,sample_046700,0.9887102842330932,0.9934494495391846,0.9869908094406128,0.0116841169074177,IN718_twins
multi-output Tversky Loss lr 3e-04,best,10,45148,sample_045148,0.9885663986206056,0.9958196878433228,0.9916790127754213,0.0152036305516958,IN718_twins
multi-output Tversky Loss lr 3e-04,worst,1,67614,sample_067614,0.3118267953395843,0.3368522524833679,0.2444118708372116,0.0899349302053451,Iron
multi-output Tversky Loss lr 3e-04,worst,2,4582,sample_004582,0.3588160276412964,0.3955287337303161,0.266678512096405,0.167315661907196,Al_big_grains
multi-output Tversky Loss lr 3e-04,worst,3,71488,sample_071488,0.3666441142559051,0.4215812385082245,0.3644256591796875,0.1519841998815536,Ti7Al
multi-output Tversky Loss lr 3e-04,worst,4,72087,sample_072087,0.3839582800865173,0.538981020450592,0.4432077705860138,0.2647978961467743,Ti7Al
multi-output Tversky Loss lr 3e-04,worst,5,73778,sample_073778,0.4066437184810638,0.3743190765380859,0.2991293668746948,0.0734375491738319,Ti7Al
multi-output Tversky Loss lr 3e-04,worst,6,79887,sample_079887,0.4069364368915558,0.4613400101661682,0.4080249965190887,0.2067387402057647,Ti7Al
multi-output Tversky Loss lr 3e-04,worst,7,78401,sample_078401,0.4122349917888641,0.4052081704139709,0.3352113664150238,0.0640342235565185,Ti7Al
