model_display,dataset,n_samples_best_10,n_samples_worst_10,recognition_mean_best_10,recognition_mean_worst_10,recognition_min_best_10,recognition_min_worst_10,recognition_max_best_10,recognition_max_worst_10,dice_mean_best_10,dice_mean_worst_10,iou_mean_best_10,iou_mean_worst_10,rmse_mean_best_10,rmse_mean_worst_10,recognition_gap,dice_gap,iou_gap,rmse_improvement
multi-output Tversky Loss final Model,Al_big_grains,10.0,10.0,0.9803156018257141,0.5751817196607589,0.9775395393371582,0.4807096719741821,0.9943203926086426,0.6806080937385559,0.9882759869098663,0.6269797295331955,0.9768872916698456,0.5330689966678619,0.014131169533356969,0.09756783246994014,0.40513388216495516,0.3612962573766708,0.44381829500198366,0.08343666293658317
multi-output Tversky Loss final Model,Al_deformed_LoG,10.0,10.0,0.9674163103103638,0.7866455554962158,0.9650864601135254,0.7457417249679565,0.9720597863197328,0.8178839683532715,0.9724752724170684,0.8816942930221557,0.9465890765190125,0.7906069695949555,0.01431444156914945,0.14105326682329172,0.18077075481414795,0.0907809793949127,0.155982106924057,0.12673882525414226
multi-output Tversky Loss final Model,Al_small_grains,10.0,10.0,0.96513130068779,0.7413634836673737,0.9611605405807496,0.6384090185165405,0.9747467041015624,0.7974414825439453,0.9710497558116913,0.8347821652889251,0.9439337432384491,0.7334420621395111,0.02124489257112139,0.10200294032692907,0.22376781702041626,0.13626759052276616,0.210491681098938,0.08075804775580768
multi-output Tversky Loss final Model,Cu,10.0,10.0,0.9579072773456574,0.6548462927341461,0.9521589279174804,0.4862515926361084,0.9683815240859984,0.7283821105957031,0.9589288294315338,0.7893301606178283,0.9213817238807678,0.6594373762607575,0.017405514977872318,0.20764565169811244,0.3030609846115113,0.16959866881370544,0.2619443476200103,0.19024013672024012
multi-output Tversky Loss final Model,IN718_twins,10.0,10.0,0.9863524734973907,0.8515310287475586,0.9856595396995544,0.5191018581390381,0.987135410308838,0.9228227138519288,0.9955626726150513,0.9184689462184906,0.9911681592464447,0.8737840294837952,0.01825987659394737,0.10846429765224452,0.13482144474983215,0.07709372639656065,0.11738412976264956,0.09020442105829715
multi-output Tversky Loss final Model,Iron,10.0,10.0,0.9637845873832702,0.6438780009746552,0.960899531841278,0.569291353225708,0.969236135482788,0.7192348837852478,0.9694787919521332,0.7484942615032196,0.9410183846950531,0.6262972354888916,0.015743501950055312,0.15528044588863846,0.319906586408615,0.22098453044891353,0.31472114920616145,0.13953694393858315
multi-output Tversky Loss final Model,Iron_deformed,10.0,10.0,0.9592162311077118,0.6278322666883469,0.9559245109558104,0.4550347030162811,0.9645997285842896,0.7409148216247559,0.9627426087856292,0.7230733543634414,0.9283330380916596,0.6184291005134582,0.016317379940301142,0.15906438939273354,0.3313839644193649,0.23966925442218778,0.30990393757820134,0.1427470094524324
multi-output Tversky Loss final Model,Ti7Al,10.0,10.0,0.9749749720096588,0.5056021988391877,0.970362901687622,0.3736295700073242,0.994027853012085,0.6237523555755615,0.9809937894344329,0.5586086064577103,0.9629057824611664,0.48347173929214476,0.01029867231845851,0.10121897943317885,0.4693727731704711,0.4223851829767227,0.47943404316902166,0.09092030711472035
multi-output Tversky Loss lr 1e-04,Al,10.0,10.0,0.9763588786125184,0.7179430246353149,0.9748021364212036,0.4856514930725097,0.9779323935508728,0.8125022649765015,0.992477822303772,0.7795078039169312,0.9850889086723328,0.6913350433111191,0.025490562431514218,0.10578094180673356,0.25841585397720346,0.21297001838684082,0.29375386536121373,0.08029037937521934
multi-output Tversky Loss lr 1e-04,Al_big_grains,10.0,10.0,0.9749600112438201,0.597469162940979,0.9722843170166016,0.4797898828983307,0.9888728857040404,0.672378659248352,0.9887381017208099,0.632612156867981,0.977779996395111,0.5421177566051483,0.02169882087036962,0.10629650987684722,0.3774908483028412,0.3561259448528289,0.43566223978996277,0.0845976890064776
multi-output Tversky Loss lr 1e-04,Al_deformed_LoG,10.0,10.0,0.9665605425834656,0.8185821294784545,0.9634990096092224,0.7606661319732666,0.9719470143318176,0.8468852639198303,0.9785657167434693,0.893901664018631,0.9582072913646698,0.8098510861396789,0.020763774216175028,0.11234279200434683,0.14797841310501103,0.08466405272483823,0.14835620522499082,0.09157901778817179
multi-output Tversky Loss lr 1e-04,Al_small_grains,10.0,10.0,0.9619140923023224,0.7380938172340393,0.9576307535171508,0.4685314893722534,0.9732191562652588,0.820093035697937,0.9747974574565887,0.8437338590621948,0.9510556757450104,0.7547614634037018,0.02718023732304569,0.10078341923654074,0.22382027506828306,0.13106359839439397,0.19629421234130862,0.07360318191349505
multi-output Tversky Loss lr 1e-04,Cu,10.0,10.0,0.9523030698299408,0.6536412239074707,0.9457030296325684,0.4856786131858825,0.9640963077545166,0.7213335633277893,0.9595497071743011,0.8031577646732331,0.9226977586746216,0.6802824378013611,0.02594390846788878,0.21271148771047588,0.29866184592247014,0.15639194250106803,0.24241532087326045,0.1867675792425871
