model_display,dataset,performance_group,rank_within_group,sample_name,spot_recognition_mean,dice_mean,iou_mean,rmse_mean
multi-output BCE/MSE Loss,IN718_twins,worst 10,8,sample_046672,0.5681424736976624,0.6063399314880371,0.45758718252182,0.1829383671283722
multi-output BCE/MSE Loss,IN718_twins,worst 10,9,sample_046568,0.5719894170761108,0.6703795194625854,0.5223677158355713,0.2801775932312011
multi-output BCE/MSE Loss,IN718_twins,worst 10,10,sample_044998,0.5722410678863525,0.6019116044044495,0.513303279876709,0.2696041166782379
multi-output BCE/MSE Loss,Iron,best 10,1,sample_064046,0.95964378118515,0.9819443225860596,0.9645712375640868,0.0376691743731498
multi-output BCE/MSE Loss,Iron,best 10,2,sample_063042,0.9501979947090148,0.9788190126419068,0.9587817192077636,0.0198285281658172
multi-output BCE/MSE Loss,Iron,best 10,3,sample_066640,0.947665810585022,0.9676233530044556,0.9381711483001708,0.0122309271246194
multi-output BCE/MSE Loss,Iron,best 10,4,sample_065922,0.9475441575050354,0.9722487330436708,0.946547269821167,0.0233096256852149
multi-output BCE/MSE Loss,Iron,best 10,5,sample_066035,0.9469306468963624,0.980766534805298,0.9625848531723022,0.0337871313095092
multi-output BCE/MSE Loss,Iron,best 10,6,sample_068148,0.9457069635391236,0.9828088283538818,0.9663131237030028,0.0597740672528743
multi-output BCE/MSE Loss,Iron,best 10,7,sample_068283,0.9419400691986084,0.9747841358184814,0.9516311883926392,0.0143041759729385
multi-output BCE/MSE Loss,Iron,best 10,8,sample_063565,0.9408344030380248,0.9688379764556884,0.9406853318214417,0.0164982657879591
multi-output BCE/MSE Loss,Iron,best 10,9,sample_070566,0.93987774848938,0.9788668155670166,0.9590986967086792,0.0140926288440823
multi-output BCE/MSE Loss,Iron,best 10,10,sample_066269,0.938285231590271,0.9717863202095032,0.9458837509155272,0.0185547098517417
multi-output BCE/MSE Loss,Iron,worst 10,1,sample_066538,0.2883644700050354,0.3284309208393097,0.2299887090921402,0.1440350413322448
multi-output BCE/MSE Loss,Iron,worst 10,2,sample_062402,0.3448354005813598,0.3739495873451233,0.2986577153205871,0.1669875681400299
multi-output BCE/MSE Loss,Iron,worst 10,3,sample_063514,0.3844126760959625,0.4260773062705993,0.3160539269447326,0.1929957568645477
multi-output BCE/MSE Loss,Iron,worst 10,4,sample_064987,0.3921367526054382,0.4188775420188904,0.3604038655757904,0.1232900172472
multi-output BCE/MSE Loss,Iron,worst 10,5,sample_068129,0.4104194045066833,0.442629873752594,0.3498851656913757,0.1822977364063263
multi-output BCE/MSE Loss,Iron,worst 10,6,sample_068301,0.4566059708595276,0.4068376421928406,0.3113795220851898,0.0935011357069015
multi-output BCE/MSE Loss,Iron,worst 10,7,sample_067959,0.4707352221012115,0.5089049935340881,0.3736239969730377,0.2818759083747864
multi-output BCE/MSE Loss,Iron,worst 10,8,sample_064909,0.4712529182434082,0.5251563787460327,0.3688671886920929,0.110784113407135
multi-output BCE/MSE Loss,Iron,worst 10,9,sample_067182,0.4757786095142364,0.4938980638980865,0.4879432618618011,0.1132304668426513
multi-output BCE/MSE Loss,Iron,worst 10,10,sample_070247,0.4839942455291748,0.506411075592041,0.3672612309455871,0.1325604617595672
multi-output BCE/MSE Loss,Iron_deformed,best 10,1,sample_061724,0.9612216353416444,0.9840079545974731,0.9685324430465698,0.0344277694821357
multi-output BCE/MSE Loss,Iron_deformed,best 10,2,sample_058255,0.9435451626777648,0.9909266233444214,0.9820414781570436,0.051904235035181
multi-output BCE/MSE Loss,Iron_deformed,best 10,3,sample_054288,0.9401162266731262,0.9651747345924376,0.9327640533447266,0.047988973557949
multi-output BCE/MSE Loss,Iron_deformed,best 10,4,sample_057903,0.9394882917404176,0.9682360887527466,0.9397934675216676,0.0386974774301052
multi-output BCE/MSE Loss,Iron_deformed,best 10,5,sample_062042,0.9383490681648254,0.9711906909942628,0.9444411993026732,0.0407527647912502
multi-output BCE/MSE Loss,Iron_deformed,best 10,6,sample_060408,0.932960033416748,0.9613990783691406,0.9278374314308168,0.0161649249494075
multi-output BCE/MSE Loss,Iron_deformed,best 10,7,sample_060167,0.932004690170288,0.9726415872573853,0.9474171996116638,0.0178543478250503
multi-output BCE/MSE Loss,Iron_deformed,best 10,8,sample_060753,0.92910498380661,0.9726576805114746,0.947741687297821,0.036036230623722
multi-output BCE/MSE Loss,Iron_deformed,best 10,9,sample_053449,0.9290987253189088,0.9750492572784424,0.951331377029419,0.090488962829113
multi-output BCE/MSE Loss,Iron_deformed,best 10,10,sample_060669,0.928652048110962,0.970915913581848,0.944345474243164,0.0628161653876304
multi-output BCE/MSE Loss,Iron_deformed,worst 10,1,sample_057519,0.4583762884140014,0.4159883558750152,0.3389072120189667,0.0743606686592102
multi-output BCE/MSE Loss,Iron_deformed,worst 10,2,sample_057275,0.4709125161170959,0.4765875935554504,0.4205798506736755,0.1184658259153366
multi-output BCE/MSE Loss,Iron_deformed,worst 10,3,sample_057701,0.4754783809185028,0.5282682180404663,0.3798195123672485,0.2382861971855163
multi-output BCE/MSE Loss,Iron_deformed,worst 10,4,sample_057772,0.482243150472641,0.4930997788906097,0.4863874316215515,0.1639858037233352
multi-output BCE/MSE Loss,Iron_deformed,worst 10,5,sample_061207,0.4823304712772369,0.5697343349456787,0.3984230160713196,0.1829345226287841
multi-output BCE/MSE Loss,Iron_deformed,worst 10,6,sample_059784,0.4838215410709381,0.4768637418746948,0.4557739496231079,0.0576793923974037
multi-output BCE/MSE Loss,Iron_deformed,worst 10,7,sample_061433,0.4875402152538299,0.4856503903865814,0.4721014499664306,0.0767207071185112
multi-output BCE/MSE Loss,Iron_deformed,worst 10,8,sample_055978,0.4920599460601806,0.4847291707992553,0.3900134563446045,0.1974737793207168
multi-output BCE/MSE Loss,Iron_deformed,worst 10,9,sample_058796,0.4943355321884155,0.5022963285446167,0.4339035153388977,0.2353857904672622
