model,dataset,n_samples,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,spot_recognition_p10,soft_intensity_dice_mean,soft_intensity_dice_whole_mean
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Al_big_grains,552,0.9610802655418714,0.9302780939724998,0.7021533541273379,0.23522741041159717,4.642443487393683,4.723614358923573,4.6403145144383116,5.33620908467666,0.6294634551133799,0.5842773377895355,0.46185901839340077,0.4602267201989889
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Iron,536,0.9570619086943456,0.921027074665276,0.708537830790477,0.11755536983151045,4.161500245999934,4.18222318367282,4.152972207140567,4.899744904530582,0.6242620374506979,0.5898534655570984,0.46709355228205224,0.4658496109629745
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Iron_deformed,557,0.9526909196505212,0.9129507008746025,0.6827377350582897,0.09355355789834764,2.4589148965301377,2.478345792426241,2.4467923322314635,2.873355793781726,0.6349765902361707,0.6040421247482299,0.5217772954991304,0.5195024665746055
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Ti7Al,580,0.9427247348016706,0.9011770220666097,0.7490164897565184,0.23517850632297582,4.660205077405633,16.47818205541578,4.656661290752477,5.786345954804585,0.5968541223427345,0.5680721640586853,0.3762390192726563,0.3722548810058627
final_20260707-111849_twoouts_augmented_spots_train_e200_b10_lr0.0001_s1,Cu,571,0.9425954523312022,0.8937251689972685,0.6573067499543238,0.059644048814963546,2.870450179652032,2.888932047708648,2.846340947727397,3.317026862434247,0.6426443507708935,0.6092363595962524,0.5518538409064405,0.5499028902233377
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,IN718_twins,503,0.9664460767808539,0.9392805617324874,0.02925910473899327,0.018114538273587083,0.07932408229183131,0.09290810069346997,0.07933075306474215,0.035584224293575016,0.9685934851942195,0.9427531480789184,0.9924223002335186,0.9886801829394953
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,Al,573,0.956116806462173,0.9224907506198783,0.032617345086606075,0.0106955571888408,0.10682791708131527,0.1201010860931811,0.10693100457572188,0.04802586214477115,0.961749729061626,0.940630030632019,0.9843497221174456,0.9807927381721883
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.9277958104179965,0.8706664874528846,0.05710900568212512,0.006884520827144216,0.17141252638409948,0.1906827136052824,0.18319403011507043,0.09134528322869705,0.9353434038865898,0.8828324973583221,0.9706248906958435,0.9653997715666063
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,Al_small_grains,552,0.9189008888990983,0.8575096095277779,0.05278119963991955,0.006819151302266434,0.16971176494236873,0.18693016551812922,0.17364511167819519,0.09090403040518404,0.9330598446338073,0.889273715019226,0.9693060785639978,0.9641228834895984
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,Iron_deformed,557,0.8535914123058319,0.7685101782933171,0.0850474129897447,0.01240169014459847,0.2808129649401995,0.3435960484591699,0.288430994767796,0.1726381705707705,0.8842719998779159,0.787936270236969,0.9169859019387346,0.8985258337090216
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,Cu,571,0.8526694542889838,0.7636231605726866,0.10625302089759901,0.010076422095070422,0.3508987580401572,0.4290020164761255,0.37104620385243053,0.23720415742601383,0.8732082156917886,0.7579426765441895,0.8724076932658247,0.8526968662145885
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,Al_big_grains,552,0.8407743959755137,0.7714349284390176,0.060693420874683754,0.02460349026449072,0.29421025408647844,518.2183765853162,0.29537844690291776,0.17565552090746822,0.8900404872669689,0.7547065019607544,0.8874362576213004,0.8530298728576821
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,Iron,536,0.8366417663533297,0.7572191368176866,0.07526658060300205,0.013236785337281997,0.3200594446649636,0.4106395979995714,0.3256881645699935,0.20154040039572588,0.8806875944137573,0.7382363379001617,0.8737534006584936,0.8551382332929035
final_20260717-084426_augmented_spots_train_e200_b10_lr0.0001_s1,Ti7Al,580,0.760827553888847,0.6747138240214052,0.08026718207522585,0.028626477254297712,0.4150264824596073,207.54445482486346,0.4162809180834427,0.2901133927267751,0.840280186410608,0.7045992970466614,0.7900435852079556,0.759448565080248
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,IN718_twins,503,0.9898960687531154,0.9809618813854089,0.01629167254440205,0.009405800707964134,0.045662735490717185,0.05002462698765114,0.04566796368199066,0.014681375854547742,0.9868021990148496,0.9797731876373291,0.9974134962554007,0.9965587367357364
final_20260719-084743_augmented_spots_train_e200_b100_lr0.0001_s1,Al,573,0.9786735533835792,0.9612110569214946,0.02224968658048289,0.006682034414692296,0.07515072405182255,0.0782759901051642,0.07524254935977243,0.02796872970203172,0.9782119340297439,0.9666322350502015,0.9919177686980881,0.99136503641518
