model,model_path,sample_name,channel_assignment,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,integrated_intensity_abs_relative_error_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,spot_recognition_mean,batch_eval_seconds,batch_seconds_per_sample,batch_seconds_per_spot,donor_keys,experiment,measured_overlap_fraction,requested_overlap_fraction,split,n_spots_<50%,n_spots_50-70%,n_spots_70-90%,n_spots_>90%
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045135,swapped,0.9585983753204346,0.9224385023117065,0.013115422800183296,0.006259546615183353,0.029723338782787323,0.030916638672351837,0.029723331332206726,0.021940745413303375,0.9995135068893433,0.9994673728942871,0.9727414846420288,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|892|2269|194160', '?|IN718_twins_logtif.h5|178|1555|134363']",IN718_twins_logtif,0.45307289185326344,0.48947942363755814,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045138,direct,0.968726396560669,0.940096914768219,0.015976520255208015,0.007725193165242672,0.03699614852666855,0.03757615387439728,0.03699731081724167,0.027165081351995468,0.9991206526756287,0.999109148979187,0.9763749837875366,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|1071|1071|89654', '?|IN718_twins_logtif.h5|1262|1262|106611']",IN718_twins_logtif,0.3860759493670886,0.4099419117068954,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045148,direct,0.9858624339103699,0.9722123742103577,0.012177975848317146,0.007934316992759705,0.022900696843862534,0.023357030004262924,0.022900691255927086,0.01779966428875923,0.9997256398200989,0.9997130632400513,0.9868422150611877,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|72|1450|124687', '?|IN718_twins_logtif.h5|1280|1280|108242']",IN718_twins_logtif,0.1423337091319053,0.1513496654273766,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045156,direct,0.8169478178024292,0.6907236576080322,0.05020191892981529,0.05708291381597519,0.12335531413555145,0.42412105202674866,0.12335531413555145,0.03909740597009659,0.9921125173568726,0.9093954563140869,0.883372962474823,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|484|1863|159526', '?|IN718_twins_logtif.h5|831|2209|189600']",IN718_twins_logtif,0.333926453143535,0.34206193975831,train,0,0,2,0
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045204,swapped,0.9845823049545288,0.9698171615600586,0.014270194806158543,0.007617266848683357,0.04492955282330513,0.04498950392007828,0.04492956027388573,0.02203657478094101,0.9987159967422485,0.9987144470214844,0.9851560592651367,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|19|1395|120217', '?|IN718_twins_logtif.h5|351|351|29890']",IN718_twins_logtif,0.8354849387619994,0.8202234341178825,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045217,direct,0.816137433052063,0.7307562828063965,0.01966365985572338,0.007615380454808474,0.08047136664390564,0.08069153130054474,0.08047152310609818,0.04982634633779526,0.9943925142288208,0.994377851486206,0.898236870765686,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|885|885|73830', '?|IN718_twins_logtif.h5|414|1792|155764']",IN718_twins_logtif,0.6259640102827764,0.6551004601110855,train,0,0,1,1
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045237,swapped,0.9638783931732178,0.9318903684616089,0.009710373356938362,0.0053730309009552,0.025943104177713394,0.026002133265137672,0.025943107903003693,0.0170547254383564,0.9996532201766968,0.9996517896652222,0.9770839810371399,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|1284|1284|108407', '?|IN718_twins_logtif.h5|1064|1064|88778']",IN718_twins_logtif,0.4979508196721312,0.549626328034001,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045247,swapped,0.9587565660476685,0.9209246635437012,0.013303126208484173,0.005349328741431236,0.040076546370983124,0.04241234064102173,0.040076546370983124,0.013201302848756313,0.9991866946220398,0.99908846616745,0.9727267026901245,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|518|1895|162872', '?|IN718_twins_logtif.h5|807|2184|187960']",IN718_twins_logtif,0.7065015479876161,0.6837230507169938,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045265,direct,0.9350201487541199,0.8839892148971558,0.025621842592954636,0.011592674069106579,0.06032244861125946,0.06198263168334961,0.060322463512420654,0.03967573866248131,0.9976316690444946,0.9974822402000427,0.9546991586685181,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|82|82|6400', '?|IN718_twins_logtif.h5|816|816|68598']",IN718_twins_logtif,0.8177117000646412,0.8916260589655053,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045285,swapped,0.9808164238929749,0.9625260233879089,0.02097167633473873,0.016030730679631233,0.06056132912635803,0.06617841869592667,0.06056133657693863,0.021182658150792122,0.9979649782180786,0.9975336790084839,0.9799224138259888,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|1181|2558|219015', '?|IN718_twins_logtif.h5|16|1393|120107']",IN718_twins_logtif,0.709681862002479,0.8058147290843894,train,0,0,0,2
