model,model_path,sample_name,selected_target_for_output,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,reconstruction_rmse,batch_eval_seconds,batch_seconds_per_sample,batch_seconds_per_spot,donor_keys,experiment,measured_overlap_fraction,requested_overlap_fraction,split,n_spots_<50%,n_spots_50-70%,n_spots_70-90%,n_spots_>90%
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026122,target_1,0.8122373819351196,0.6935559511184692,0.09525611996650696,0.038658853620290756,0.26051726937294006,0.3364238440990448,0.26051342487335205,0.9637116193771362,0.9374915361404419,0.13290105760097504,0.8584906458854675,1.1641532182693481e-10,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|5448|12480|69984', '?|Al_segvol.h5|2837|9869|55149']",Al_segvol,0.338477366255144,0.3474765389681044,train,0,0,1,1
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026149,target_0,0.8471298217773438,0.734885573387146,0.16754218935966492,0.050642985850572586,0.389716237783432,0.4015752077102661,0.3897162079811096,0.9305790662765503,0.9262332916259766,0.1201326847076416,0.8397938013076782,4.799926567322643e-10,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|1878|8909|49830', '?|Al_segvol.h5|353|353|2032']",Al_segvol,0.38245315161839866,0.3886245193730248,train,0,0,2,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026150,target_0,0.7989993095397949,0.6713566780090332,0.2025596797466278,0.040563154965639114,0.5179101228713989,0.5300095081329346,0.5179101228713989,0.8705394268035889,0.864421010017395,0.17223943769931793,0.7982197999954224,4.799926567322643e-10,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|3832|10864|60395', '?|Al_segvol.h5|5419|5419|30078']",Al_segvol,0.4035433070866142,0.3944098075038295,train,0,0,2,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026164,target_1,0.5252503156661987,0.4814969599246979,0.05666508898139,0.03975391387939453,0.4851512610912323,2.586064577102661,0.48515111207962036,0.8195732831954956,0.525005578994751,0.11468779295682907,0.7342926263809204,3.080059818305614e-10,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|6379|6379|35189', '?|Al_segvol.h5|737|7772|43516']",Al_segvol,0.4627594627594628,0.4607196982232322,train,0,1,0,1
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026181,target_0,0.7722050547599792,0.6601405143737793,0.15869863331317902,0.06563496589660645,0.44543808698654175,0.47824376821517944,0.44543811678886414,0.8587908744812012,0.8397639989852905,0.16290630400180817,0.8067531585693359,1.1699594626435328e-09,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|2378|2378|13150', '?|Al_segvol.h5|495|7524|42138']",Al_segvol,0.6274038461538461,0.6242817183423741,train,0,1,0,1
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026184,target_1,0.8462135791778564,0.7367433905601501,0.0675184354186058,0.03255333751440048,0.1407419741153717,0.18921542167663574,0.1407419741153717,0.9900302886962891,0.9803728461265564,0.02213418111205101,0.8893476128578186,4.799926567322643e-10,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|3609|3609|19787', '?|Al_segvol.h5|1273|1273|7020']",Al_segvol,0.16378162450066577,0.16820772812025508,train,0,0,1,1
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026195,target_1,0.8246753215789795,0.7022855281829834,0.058934397995471954,0.026366738602519035,0.3122715651988983,0.6823123693466187,0.3122579753398895,0.947541356086731,0.794815182685852,0.1094084084033966,0.8828704357147217,0.0,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|2909|2909|16032', '?|Al_segvol.h5|4705|4705|25850']",Al_segvol,0.16141732283464566,0.16545082973702155,train,0,0,2,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026261,target_1,0.8453791737556458,0.7337175011634827,0.09212948381900787,0.02508407272398472,0.19088542461395264,0.24725179374217987,0.19084787368774414,0.9816915988922119,0.9673600196838379,0.03664412721991539,0.8766248226165771,0.0,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|101|101|588', '?|Al_segvol.h5|2673|9707|54296']",Al_segvol,0.1706924315619968,0.16494674753900443,train,0,0,2,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026278,target_0,0.7404477596282959,0.5881665945053101,0.16353994607925415,0.04715827479958534,0.5169774293899536,0.5471298694610596,0.5169774889945984,0.8651735782623291,0.849422812461853,0.10493234544992447,0.7884539365768433,2.6031257704950406e-10,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|1207|8240|46080', '?|Al_segvol.h5|3130|3130|17188']",Al_segvol,0.4947111472742067,0.47808778964926824,train,0,0,2,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026305,target_1,0.8045767545700073,0.6730771064758301,0.19865718483924866,0.060396891087293625,0.5625942945480347,0.5703060030937195,0.5625942945480347,0.8587207198143005,0.8546820878982544,0.2612977921962738,0.8029597997665405,3.29272248356105e-10,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|897|897|4916', '?|Al_segvol.h5|1059|8094|45198']",Al_segvol,0.7931638913234005,0.8417326473065282,train,0,0,2,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026329,target_0,0.870259165763855,0.7743141651153564,0.22317935526371002,0.04751787334680557,0.641147255897522,0.6458007097244263,0.6411471962928772,0.8631887435913086,0.8613177537918091,0.3233293294906616,0.8235398530960083,4.656612873077393e-10,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|105|105|610', '?|Al_segvol.h5|6568|13603|76129']",Al_segvol,0.8541666666666666,0.8546886377665251,train,0,0,2,0
final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260702-145153_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_026333,target_1,0.6914287209510803,0.5662981271743774,0.05702536180615425,0.028968051075935364,0.21027681231498718,0.6176691651344299,0.21027669310569763,0.9755733013153076,0.8141447305679321,0.08765658736228943,0.8172017335891724,1.646361241780525e-10,0.010820555966347456,0.000338142373948358,0.000169071186974179,"['?|Al_segvol.h5|4968|12000|66932', '?|Al_segvol.h5|6846|13874|77583']",Al_segvol,0.25268817204301075,0.25571724926553285,train,0,0,1,1
