model,model_path,sample_name,channel_assignment,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,integrated_intensity_abs_relative_error_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,spot_recognition_mean,batch_eval_seconds,batch_seconds_per_sample,batch_seconds_per_spot,donor_keys,experiment,measured_overlap_fraction,requested_overlap_fraction,split,n_spots_<50%,n_spots_50-70%,n_spots_70-90%,n_spots_>90%
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019550,swapped,0.8080082535743713,0.6792678236961365,0.09531870484352112,0.03404400497674942,0.34443819522857666,0.45587193965911865,0.34443825483322144,0.23008739948272705,0.9358253479003906,0.896216630935669,0.8563447594642639,0.008340350817888975,0.0002606359630590305,0.00013031798152951524,"['?|Ti7Al_logtif.h5|256|1238|483112', '?|Ti7Al_logtif.h5|884|884|358042']",Ti7Al_logtif,0.47926634768740034,0.5049931459813272,validation,0,0,2,0
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019551,swapped,0.9560694694519043,0.9158363342285156,0.029699869453907013,0.006147949956357479,0.08583994954824448,0.08679988980293274,0.09556898474693298,0.032317422330379486,0.9961719512939453,0.9960813522338867,0.9631848335266113,0.008340350817888975,0.0002606359630590305,0.00013031798152951524,"['?|Ti7Al_logtif.h5|373|1357|530911', '?|Ti7Al_logtif.h5|453|453|205933']",Ti7Al_logtif,0.28821656050955413,0.2888422441136097,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019552,swapped,0.9065970778465271,0.8394378423690796,0.013320649974048138,0.003344068769365549,0.2051352858543396,0.21150164306163788,0.2053610235452652,0.08469188958406448,0.9588576555252075,0.9561119079589844,0.9466382265090942,0.013228873955085874,0.00041340231109643355,0.00020670115554821678,"['?|Ti7Al_logtif.h5|99|99|30451', '?|Ti7Al_logtif.h5|338|338|120963']",Ti7Al_logtif,0.8142292490118577,0.8809346792948921,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019553,direct,0.9222036600112915,0.859806478023529,0.024482395499944687,0.005587620660662651,0.17160797119140625,0.18676325678825378,0.17499151825904846,0.05152133107185364,0.9800078868865967,0.9759846925735474,0.9488606452941895,0.013228873955085874,0.00041340231109643355,0.00020670115554821678,"['?|Ti7Al_logtif.h5|591|1572|655678', '?|Ti7Al_logtif.h5|464|464|211949']",Ti7Al_logtif,0.29475982532751094,0.31318450530706643,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019554,direct,0.945860743522644,0.8974308967590332,0.024914219975471497,0.006757219787687063,0.08617483824491501,0.08687212318181992,0.08672995865345001,0.03003007359802723,0.9960798025131226,0.9960107207298279,0.9604732394218445,0.013228873955085874,0.00041340231109643355,0.00020670115554821678,"['?|Ti7Al_logtif.h5|786|1768|720394', '?|Ti7Al_logtif.h5|772|772|324592']",Ti7Al_logtif,0.35704323570432356,0.35682558316637825,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019555,direct,0.7250981330871582,0.5740612745285034,0.1820581704378128,0.07211904227733612,0.49317115545272827,0.7200932502746582,0.49590250849723816,0.2596263885498047,0.8080840110778809,0.7011104822158813,0.7715200185775757,0.013228873955085874,0.00041340231109643355,0.00020670115554821678,"['?|Ti7Al_logtif.h5|538|1520|636813', '?|Ti7Al_logtif.h5|183|1165|448442']",Ti7Al_logtif,0.3196392785571142,0.32095757524311497,validation,0,1,1,0
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019556,swapped,0.8542459011077881,0.7473666667938232,0.10627122223377228,0.025218438357114792,0.5946234464645386,0.647551417350769,0.5944929122924805,0.4342743754386902,0.8560904860496521,0.8346169590950012,0.8739873170852661,0.013228873955085874,0.00041340231109643355,0.00020670115554821678,"['?|Ti7Al_logtif.h5|260|1241|483410', '?|Ti7Al_logtif.h5|591|591|264950']",Ti7Al_logtif,0.8269230769230769,0.7981799785757383,validation,0,0,2,0
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019557,swapped,0.9177597761154175,0.8497010469436646,0.06693118065595627,0.01577361300587654,0.24686667323112488,0.261874794960022,0.2482558786869049,0.13454094529151917,0.9615780115127563,0.9586837887763977,0.9254142642021179,0.013228873955085874,0.00041340231109643355,0.00020670115554821678,"['?|Ti7Al_logtif.h5|858|1840|746147', '?|Ti7Al_logtif.h5|275|1257|494440']",Ti7Al_logtif,0.49279538904899134,0.4900394421117996,validation,0,0,0,2
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019558,direct,0.8977304100990295,0.8260849714279175,0.034846510738134384,0.014287285506725311,0.16360077261924744,0.16458992660045624,0.16401952505111694,0.10899662226438522,0.9813462495803833,0.9811099767684937,0.9314419031143188,0.013228873955085874,0.00041340231109643355,0.00020670115554821678,"['?|Ti7Al_logtif.h5|224|224|82357', '?|Ti7Al_logtif.h5|445|1426|584877']",Ti7Al_logtif,0.5915655690352397,0.5957683525306323,validation,0,0,1,1
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,checkpoints/final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1.pth,sample_019559,direct,0.8576546907424927,0.7509328126907349,0.1646653711795807,0.03513575345277786,0.5352334976196289,0.6035313606262207,0.5352334976196289,0.20271451771259308,0.8385224342346191,0.8050210475921631,0.8464946746826172,0.013228873955085874,0.00041340231109643355,0.00020670115554821678,"['?|Ti7Al_logtif.h5|974|974|381826', '?|Ti7Al_logtif.h5|275|275|106015']",Ti7Al_logtif,0.7775735294117647,0.8711329137937276,validation,0,0,2,0
